학교명,지역,주소,Latitude,Longitude,우편번호
가야대학교(고령),경북,경상북도 고령군 대가야읍 대가야로 1103 ,35.7161053,128.2515653,40139
가야대학교(김해),경남,경상남도 김해시 삼계로 208 ,35.2694115,128.8738294,50830
가천대학교,경기,경기도 성남시 수정구 성남대로 1342 ,37.4507452,127.1288474,13120
가톨릭관동대학교,강원,강원도 강릉시 범일로579번길 24 ,37.7362925,128.8740304,25601
가톨릭대학교,경기,경기도 부천시 원미구 지봉로 43 ,37.4865549,126.8018828,14662
가톨릭대학교,서울,서울특별시 서초구 반포대로 222 ,37.5003721,127.0059955,6591
가톨릭대학교,서울,서울특별시 종로구 창경궁로 296-12 ,37.5859218,127.0043275,3083
감리교신학대학교,서울,서울특별시 서대문구 독립문로 56 ,37.5673344,126.9621921,3745
강남대학교,경기,경기도 용인시 기흥구 강남로 40 ,37.27574,127.13249,16979
강릉원주대학교,강원,강원도 강릉시 죽헌길 7 ,37.7701317,128.8690744,25457
강릉원주대학교,강원,강원도 원주시 흥업면 남원로 150 ,37.3046967,127.9226353,26403
강원대학교,강원,강원도 춘천시 강원대학길 1 ,37.8694561,127.7444707,24341
강원대학교,강원,강원도 삼척시 중앙로 346 ,37.4538118,129.1623725,25913
건국대학교,서울,서울특별시 광진구 능동로 120 ,37.5407625,127.0793428,5029
건국대학교(글로컬),충북,충청북도 충주시 충원대로 268 ,36.9494546,127.9083146,27478
건양대학교,충남,충청남도 논산시 대학로 121 ,36.1826203,127.111405,32992
건양대학교,대전,대전광역시 서구 관저동로 158 ,36.3067823,127.3422503,35365
경기대학교,경기,경기도 수원시 영통구 광교산로 154-42 ,37.300485,127.035833,16227
경기대학교,서울,서울특별시 서대문구 경기대로9길 24 ,37.5648332,126.9624113,3746
경남대학교,경남,경상남도 창원시 마산합포구 경남대학로 7 ,35.18035,128.553385,51767
경동대학교,강원,강원도 고성군 토성면 봉포4길 46 ,38.250613,128.556866,24764
경동대학교,강원,강원도 원주시 문막읍 견훤로 815 ,37.2655846,127.7944068,26495
경동대학교,경기,경기도 양주시 경동대학로 27 ,37.8104769,127.0723993,11458
경북대학교,대구,대구광역시 북구 대학로 80 ,35.888836,128.6102997,41566
경상국립대학교,경남,경상남도 진주시 진주대로 501 ,35.1531629,128.0994469,52828
경성대학교,부산,부산광역시 남구 수영로 309 ,35.1397716,129.0984966,48434
경운대학교,경북,경상북도 구미시 산동면 강동로 730 ,36.1691464,128.4679212,39160
경일대학교,경북,경상북도 경산시 하양읍 가마실길 50 ,35.9084351,128.8012025,38428
경주대학교,경북,경상북도 경주시 태종로 188 ,35.8298508,129.1619766,38065
경희대학교,서울,서울특별시 동대문구 경희대로 26 ,37.5953632,127.0527612,2447
계명대학교,대구,대구광역시 달서구 달구벌대로 1095 ,35.8557375,128.4889252,42601
고려대학교,서울,서울특별시 성북구 안암로 145 ,37.5910919,127.0302628,2841
고려대학교(세종),세종,세종특별자치시 조치원읍 세종로 2511 ,36.6093252,127.2898829,30019
고신대학교,부산,부산광역시 영도구 와치로 194 ,35.0796217,129.0630066,49104
공주대학교,충남,충청남도 공주시 공주대학로 56 ,36.4696336,127.1431322,32588
광신대학교,광주,광주광역시 북구 양산택지소로 36 ,35.2157742,126.8852587,61027
광운대학교,서울,서울특별시 노원구 광운로 20 ,37.6194277,127.05982,1897
광주가톨릭대학교,전남,전라남도 나주시 남평읍 중남길 12-25 ,35.0156113,126.8648579,58230
광주과학기술원,광주,광주광역시 북구 첨단과기로 123 ,35.2275945,126.8393882,61005
광주대학교,광주,광주광역시 남구 효덕로 277 ,35.1063302,126.8951539,61743
광주여자대학교,광주,광주광역시 광산구 광주여대길 40 ,35.1636729,126.7974995,62396
국민대학교,서울,서울특별시 성북구 정릉로 77 ,37.6108694,126.9972889,2707
군산대학교,전북,전라북도 군산시 대학로 558 ,35.9460546,126.6821658,54150
극동대학교,충북,충청북도 음성군 감곡면 대학길 76-32 ,37.127461,127.643334,27601
금강대학교,충남,충청남도 논산시 상월면 상월로 522 ,36.3053862,127.1951777,32906
금오공과대학교,경북,경상북도 구미시 대학로 61 ,36.1460625,128.3934375,39177
김천대학교,경북,경상북도 김천시 대학로 214 ,36.1399498,128.081792,39528
꽃동네대학교,충북,충청북도 청주시 서원구 현도면 상삼길 133 ,36.52228,127.400819,28211
나사렛대학교,충남,충청남도 천안시 서북구 월봉로 48 ,36.7962041,127.1185261,31172
남부대학교,광주,광주광역시 광산구 남부대길 1 ,35.2161972,126.8358869,62271
남서울대학교,충남,충청남도 천안시 서북구 성환읍 대학로 91 ,36.909155,127.144395,31020
단국대학교,경기,경기도 용인시 수지구 죽전로 152 ,37.3215984,127.1267503,16890
단국대학교,충남,충청남도 천안시 동남구 단대로 119 ,36.8372782,127.1687493,31116
대구가톨릭대학교,경북,경상북도 경산시 하양읍 하양로 13-13 ,35.9120561,128.8076575,38430
대구경북과학기술원,대구,대구광역시 달성군 현풍면 테크노중앙대로 333 ,35.6921852,128.4504959,42988
대구대학교,경북,경상북도 경산시 진량읍 대구대로 201 ,35.9021687,128.849098,38453
대구예술대학교,경북,경상북도 칠곡군 가산면 다부거문1길 202 ,36.0329149,128.5101988,39851
대구한의대학교,경북,경상북도 경산시 한의대로 1 ,35.795199,128.775598,38610
대신대학교,경북,경상북도 경산시 경청로222길 33 ,35.8040299,128.7443497,38649
대전가톨릭대학교,세종,세종특별자치시 전의면 가톨릭대학로 30 ,36.6554092,127.1977738,30006
대전대학교,대전,대전광역시 동구 대학로 62 ,36.3353549,127.4587081,34520
대전신학대학교,대전,대전광역시 대덕구 한남로 41 ,36.3505237,127.4235157,34432
대진대학교,경기,경기도 포천시 호국로 1007 ,37.871337,127.1566485,11159
덕성여자대학교,서울,서울특별시 도봉구 삼양로144길 33 ,37.6511988,127.0161604,1369
동국대학교,서울,서울특별시 중구 필동로1길 30 ,37.5582492,127.0001892,4620
동국대학교(경주),경북,경상북도 경주시 동대로 123 ,35.8622478,129.195123,38066
동덕여자대학교,서울,서울특별시 성북구 화랑로13길 60 ,37.6068163,127.0423832,2748
동명대학교,부산,부산광역시 남구 신선로 428 ,35.1196732,129.102224,48520
동서대학교,부산,부산광역시 사상구 주례로 47 ,35.1439156,129.0105595,47011
동신대학교,전남,전라남도 나주시 동신대길 67 ,35.0485338,126.7174706,58245
동아대학교,부산,부산광역시 사하구 낙동대로550번길 37 ,35.1162735,128.9682498,49315
동양대학교,경북,경상북도 영주시 풍기읍 동양대로 145 ,36.883202,128.5337833,36040
동의대학교,부산,부산광역시 부산진구 엄광로 176 ,35.1429679,129.0340908,47340
루터대학교,경기,경기도 용인시 기흥구 금화로82번길 20 ,37.2652684,127.1131593,17072
명지대학교,경기,경기도 용인시 처인구 명지로 116 ,37.2217444,127.1866517,17058
명지대학교,서울,서울특별시 서대문구 거북골로 34 ,37.5802046,126.9234451,3674
목원대학교,대전,대전광역시 서구 도안북로 88 ,36.3261215,127.3387606,35349
목포가톨릭대학교,전남,전라남도 목포시 영산로 697 ,34.8268,126.4192058,58607
목포대학교,전남,전라남도 무안군 청계면 영산로 1666 ,34.910319,126.4361795,58554
목포해양대학교,전남,전라남도 목포시 해양대학로 91 ,34.7918033,126.3651007,58628
배재대학교,대전,대전광역시 서구 배재로 155-40 ,36.3206145,127.3661757,35345
백석대학교,충남,충청남도 천안시 동남구 백석대학로 1 ,36.837905,127.18247,31065
부경대학교,부산,부산광역시 남구 용소로 45 ,35.1347076,129.1078727,48513
부산가톨릭대학교,부산,부산광역시 금정구 오륜대로 57 ,35.2448396,129.0978032,46252
부산대학교,부산,부산광역시 금정구 부산대학로63번길 2 ,35.2335123,129.0810047,46241
부산외국어대학교,부산,부산광역시 금정구 금샘로485번길 65 ,35.2673966,129.0787513,46234
부산장신대학교,경남,경상남도 김해시 김해대로 1894-68 ,35.2449951,128.8787437,50883
삼육대학교,서울,서울특별시 노원구 화랑로 815 ,37.6431424,127.1062512,1795
상명대학교,서울,서울특별시 종로구 홍지문2길 20 ,37.602638,126.955252,3016
상명대학교,충남,충청남도 천안시 동남구 상명대길 31 ,36.8336012,127.1791657,31066
상지대학교,강원,강원도 원주시 상지대길 83 ,37.3703221,127.9287594,26339
서강대학교,서울,서울특별시 마포구 백범로 35 ,37.5509442,126.9410023,4107
서경대학교,서울,서울특별시 성북구 서경로 124 ,37.6148855,127.0133508,2713
서울과학기술대학교,서울,서울특별시 노원구 공릉로 232 ,37.6316684,127.0774813,1811
서울기독대학교,서울,서울특별시 은평구 갈현로4길 26-2 ,37.6009228,126.9123818,3422
서울대학교,서울,서울특별시 관악구 관악로 1 ,37.4602626,126.9535979,8826
서울시립대학교,서울,서울특별시 동대문구 서울시립대로 163 ,37.5838657,127.0587771,2504
서울신학대학교,경기,경기도 부천시 소사구 호현로489번길 52 ,37.4794588,126.7890182,14754
서울여자대학교,서울,서울특별시 노원구 화랑로 621 ,37.6281126,127.0904568,1797
서울장신대학교,경기,경기도 광주시 경안로 145 ,37.4096144,127.2463089,12749
서울한영대학교,서울,서울특별시 구로구 경인로 290-42 ,37.4863179,126.8570058,8274
서원대학교,충북,충청북도 청주시 서원구 무심서로 377-3 ,36.6251583,127.4821692,28674
선문대학교,충남,충청남도 아산시 탕정면 선문로221번길 70 ,36.8001553,127.0771272,31460
성결대학교,경기,경기도 안양시 만안구 성결대학로 53 ,37.3798253,126.9269872,14097
성공회대학교,서울,서울특별시 구로구 연동로 320 ,37.4877355,126.825157,8359
성균관대학교,서울,서울특별시 종로구 성균관로 25-2 ,37.588227,126.993606,3063
성신여자대학교,서울,서울특별시 성북구 보문로34다길 2 ,37.5915464,127.02127,2844
세명대학교,충북,충청북도 제천시 세명로 65 ,37.1780767,128.195446,27136
세종대학교,서울,서울특별시 광진구 능동로 209 ,37.5518018,127.0736345,5006
세한대학교,전남,전라남도 영암군 삼호읍 녹색로 1113 ,34.747755,126.484424,58447
송원대학교,광주,광주광역시 남구 송암로 73 ,35.1087462,126.8744058,61756
수원가톨릭대학교,경기,경기도 화성시 봉담읍 왕림1길 67 ,37.193774,126.9342064,18332
수원대학교,경기,경기도 화성시 봉담읍 와우안길 17 ,37.2092017,126.9769365,18323
숙명여자대학교,서울,서울특별시 용산구 청파로47길 90 ,37.5463644,126.9648311,4310
순천대학교,전남,전라남도 순천시 중앙로 255 ,34.9689585,127.4800473,57922
순천향대학교,충남,충청남도 아산시 신창면 순천향로 22 ,36.7697899,126.9317528,31538
숭실대학교,서울,서울특별시 동작구 상도로 369 ,37.4963111,126.9574596,6978
신경대학교,경기,경기도 화성시 남양읍 남양중앙로 400-5 ,37.2026601,126.8394376,18274
신라대학교,부산,부산광역시 사상구 백양대로700번길 140 ,35.1681655,128.9958715,46958
신한대학교,경기,경기도 동두천시 벌마들로40번길 30 ,37.9035439,127.0380642,11340
신한대학교,경기,경기도 의정부시 호암로 95 ,37.7095512,127.046037,11644
아세아연합신학대학교,경기,경기도 양평군 옥천면 경강로 1276 ,37.5110357,127.4276731,12508
아주대학교,경기,경기도 수원시 영통구 월드컵로 206 ,37.2833633,127.0465105,16499
안동대학교,경북,경상북도 안동시 경동로 1375 ,36.5426215,128.7973055,36729
안양대학교,경기,경기도 안양시 만안구 삼덕로37번길 22 ,37.3918813,126.9196633,14028
안양대학교,인천,인천광역시 강화군 불은면 중앙로 602-14 ,37.7115909,126.4452954,23038
연세대학교,서울,서울특별시 서대문구 연세로 50 ,37.565784,126.938572,3722
연세대학교(미래),강원,강원도 원주시 흥업면 연세대길 1 연세대학교 미래캠퍼스,37.2793642,127.9015352,26493
영남대학교,경북,경상북도 경산시 대학로 280 ,35.8322424,128.7575746,38541
영남신학대학교,경북,경상북도 경산시 진량읍 봉회1길 26 ,35.8811514,128.8170055,38451
영산대학교,경남,경상남도 양산시 주남로 288 ,35.4288351,129.1482446,50510
영산대학교,부산,부산광역시 해운대구 반송순환로 142 ,35.223992,129.1560781,48015
영산선학대학교,전남,전라남도 영광군 백수읍 성지로 1357 ,35.3273306,126.4413795,57026
예수대학교,전북,전라북도 전주시 완산구 서원로 383 ,35.8155829,127.1345853,54989
예원예술대학교,전북,전라북도 임실군 신평면 창인로 117 ,35.6470627,127.2710092,55913
예원예술대학교,경기,경기도 양주시 은현면 화합로1134번길 110 ,37.846011,127.0373031,11429
용인대학교,경기,경기도 용인시 처인구 용인대학로 134 ,37.226722,127.167843,17092
우석대학교,전북,전라북도 완주군 삼례읍 삼례로 443 ,35.9126534,127.0667004,55338
우송대학교,대전,대전광역시 동구 동대전로 171 ,36.3378637,127.4460379,34606
울산과학기술원,울산,울산광역시 울주군 언양읍 유니스트길 50 ,35.5735044,129.1896412,44919
울산대학교,울산,울산광역시 남구 대학로 93 ,35.5437411,129.2562843,44610
원광대학교,전북,전라북도 익산시 익산대로 460 ,35.9703446,126.9547563,54538
위덕대학교,경북,경상북도 경주시 강동면 동해대로 261 ,36.0127651,129.2831264,38004
유원대학교,충북,충청북도 영동군 영동읍 대학로 310,36.1945339,127.7989959,29131
을지대학교,대전,대전광역시 중구 계룡로771번길 77 ,36.332664,127.40499,34824
을지대학교,경기,경기도 성남시 수정구 산성대로 553 ,37.4604956,127.1650932,13135
을지대학교,경기,경기도 의정부시 동일로 712 ,37.7565525,127.0660432,11759
이화여자대학교,서울,서울특별시 서대문구 이화여대길 52 ,37.5618588,126.9468339,3760
인제대학교,경남,경상남도 김해시 인제로 197 ,35.2486382,128.9029461,50834
인제대학교,부산,부산광역시 부산진구 복지로 75 ,35.1461397,129.0208659,47392
인천가톨릭대학교,인천,인천광역시 연수구 송도문화로120번길 20 ,37.3831069,126.6445905,21987
인천가톨릭대학교,인천,인천광역시 강화군 양도면 고려왕릉로 53-1 ,37.6574865,126.4472134,23058
인천대학교,인천,인천광역시 연수구 아카데미로 119 ,37.3750548,126.6328998,22012
인하대학교,인천,인천광역시 남구 인하로 100 ,37.4500221,126.653488,22212
장로회신학대학교,서울,서울특별시 광진구 광장로5길 25-1 ,37.5505112,127.1034577,4965
전남대학교,광주,광주광역시 북구 용봉로 45 ,35.1761175,126.9058167,61186
전남대학교,전남,전라남도 여수시 대학로 50 ,34.7752533,127.698952,59626
전북대학교,전북,전라북도 전주시 덕진구 백제대로 567 ,35.8467324,127.1293672,54896
전주대학교,전북,전라북도 전주시 완산구 천잠로 303 ,35.8135074,127.086864,55069
제주국제대학교,제주,제주특별자치도 제주시 516로 2870 ,33.4421723,126.5701247,63309
제주대학교,제주,제주특별자치도 제주시 제주대학로 102 ,33.4558924,126.5620301,63243
조선대학교,광주,광주광역시 동구 필문대로 309 ,35.1414794,126.9320251,61452
중부대학교,충남,충청남도 금산군 추부면 대학로 201 ,36.1921305,127.4490093,32713
중앙대학교,경기,경기도 안성시 대덕면 서동대로 4726 ,37.0048341,127.2297777,17546
중앙대학교,서울,서울특별시 동작구 흑석로 84 ,37.5050881,126.9571012,6974
중앙승가대학교,경기,경기도 김포시 승가로 147 ,37.604664,126.706051,10118
중원대학교,충북,충청북도 괴산군 괴산읍 문무로 85 ,36.819585,127.7992722,28024
차의과학대학교,경기,경기도 포천시 해룡로 120 ,37.856752,127.137807,11160
창신대학교,경남,경상남도 창원시 마산회원구 팔용로 262 ,35.2442326,128.599601,51352
창원대학교,경남,경상남도 창원시 의창구 창원대학로 20 ,35.245595,128.691953,51140
청주대학교,충북,충청북도 청주시 청원구 대성로 298 ,36.6522961,127.4954006,28503
초당대학교,전남,전라남도 무안군 무안읍 무안로 380 ,34.9778841,126.4728807,58530
총신대학교,서울,서울특별시 동작구 사당로 143 ,37.4886232,126.9668169,6988
추계예술대학교,서울,서울특별시 서대문구 북아현로11가길 7 ,37.5624515,126.9534165,3762
충남대학교,대전,대전광역시 유성구 대학로 99 ,36.3688253,127.3468684,34134
충북대학교,충북,충청북도 청주시 서원구 충대로 1 ,36.6290439,127.4563401,28644
칼빈대학교,경기,경기도 용인시 기흥구 마북로 184 ,37.3049583,127.1282123,16911
케이씨대학교,서울,서울특별시 강서구 까치산로24길 47 ,37.5483449,126.8547974,7661
평택대학교,경기,경기도 평택시 서동대로 3825 ,36.9950247,127.1333533,17869
포항공과대학교,경북,경상북도 포항시 남구 청암로 77 ,36.0138857,129.3231836,37673
한경대학교,경기,경기도 안성시 중앙로 327 ,37.0116265,127.2642483,17579
한국과학기술원,대전,대전광역시 유성구 대학로 291 ,36.3681871,127.3638696,34141
한국교원대학교,충북,충청북도 청주시 흥덕구 강내면 태성탑연로 250 ,36.6083563,127.3582209,28173
한국교통대학교,충북,충청북도 충주시 대소원면 대학로 50 ,36.9697282,127.8713222,27469
한국국제대학교,경남,경상남도 진주시 문산읍 동부로 965 ,35.1734997,128.2031031,52833
한국기술교육대학교,충남,충청남도 천안시 동남구 병천면 충절로 1600 ,36.763718,127.2819405,31253
한국산업기술대학교,경기,경기도 시흥시 산기대학로 237 ,37.3402849,126.7335076,15073
한국성서대학교,서울,서울특별시 노원구 동일로214길 32 ,37.6487485,127.0643199,1757
한국외국어대학교,서울,서울특별시 동대문구 이문로 107 ,37.597108,127.0588498,2450
한국전통문화대학교,충남,충청남도 부여군 규암면 백제문로 367 ,36.308186,126.897317,33115
한국체육대학교,서울,서울특별시 송파구 양재대로 1239 ,37.5196266,127.1309837,5541
한국침례신학대학교,대전,대전광역시 유성구 북유성대로 190 ,36.3852928,127.3250366,34098
한국항공대학교,경기,경기도 고양시 덕양구 항공대학로 76 ,37.599397,126.8651427,10540
한국해양대학교,부산,부산광역시 영도구 태종로 727 ,35.0762886,129.0889751,49112
한남대학교,대전,대전광역시 대덕구 한남로 70 ,36.3544548,127.4211446,34430
한동대학교,경북,경상북도 포항시 북구 흥해읍 한동로 558 ,36.1030897,129.3884472,37554
한라대학교,강원,강원도 원주시 흥업면 한라대길 28 ,37.3028339,127.9081367,26404
한려대학교,전남,전라남도 광양시 광양읍 한려대길 94-13 ,34.9558873,127.5639835,57764
한림대학교,강원,강원도 춘천시 한림대학길 1 ,37.8862979,127.7381568,24252
한밭대학교,대전,대전광역시 유성구 동서대로 125 ,36.35078,127.3011981,34158
한서대학교,충남,충청남도 서산시 해미면 한서1로 46 ,36.6907235,126.5846966,31962
한성대학교,서울,서울특별시 성북구 삼선교로16길 116 ,37.5822608,127.0094254,2876
한세대학교,경기,경기도 군포시 한세로 30 ,37.3468471,126.9524528,15852
한신대학교,경기,경기도 오산시 한신대길 137 ,37.1933281,127.0225987,18101
한양대학교,서울,서울특별시 성동구 왕십리로 222 ,37.5571759,127.0454092,4763
한양대학교(ERICA),경기,경기도 안산시 상록구 한양대학로 55 ,37.29693,126.8342785,15588
한일장신대학교,전북,전라북도 완주군 상관면 왜목로 726-15 ,35.7636976,127.2063688,55359
협성대학교,경기,경기도 화성시 봉담읍 최루백로 72 ,37.212939,126.952787,18330
호남대학교,광주,광주광역시 광산구 호남대길 120 ,35.1503833,126.7675847,62399
호남신학대학교,광주,광주광역시 남구 제중로 77 ,35.1398265,126.9113738,61642
호서대학교,충남,충청남도 아산시 배방읍 호서로79번길 20 ,36.7357488,127.074761,31499
홍익대학교,서울,서울특별시 마포구 와우산로 94 ,37.5515814,126.9249751,4066
홍익대학교,세종,세종특별자치시 조치원읍 세종로 2639 ,36.6209818,127.2873567,30016
